# simv0_comparison.dat  --  decoupled vs coupled at aligned times
#   (spatial results in simv0_spatial.dat; adaptive step was used)
# t(s)          T_dec(K)       T_coup(K)      WS(m/s)        G_eff(W/m2)    h_eff(W/m2K)   P_dec(W)       P_coup(W)
   16300.000000     328.132510     305.719899      16.384373     892.876548      67.961845     288.000000     248.388801
   16400.000000     328.132510     305.739537      16.424242     896.389367      68.113344     288.000000     249.343216
   16500.000000     328.132510     305.758767      16.463358     899.839345      68.261985     288.000000     250.280450
   16600.000000     328.132510     305.777589      16.501726     903.226244      68.407780     288.000000     251.200446
   16700.000000     328.132510     305.796006      16.539347     906.549833      68.550738     288.000000     252.103147
   16800.000000     328.132510     305.814017      16.576224     909.809884      68.690868     288.000000     252.988500
   16900.000000     328.132510     305.831625      16.612360     913.006174      68.828182     288.000000     253.856449
   17000.000000     328.132510     305.848831      16.647756     916.138486      68.962687     288.000000     254.706943
   17100.000000     328.132510     305.865635      16.682416     919.206606      69.094393     288.000000     255.539930
   17200.000000     328.132510     305.882038      16.716342     922.210326      69.223309     288.000000     256.355361
   17300.000000     328.132510     305.898043      16.749536     925.149443      69.349443     288.000000     257.153185
   17400.000000     328.132510     305.913649      16.781999     928.023758      69.472803     288.000000     257.933356
   17500.000000     328.132510     305.928858      16.813736     930.833077      69.593399     288.000000     258.695826
   17600.000000     328.132510     305.943670      16.844746     933.577210      69.711236     288.000000     259.440550
   17700.000000     328.132510     305.958087      16.875032     936.255973      69.826323     288.000000     260.167484
   17800.000000     328.132510     305.972109      16.904597     938.869187      69.938668     288.000000     260.876584
   17900.000000     328.132510     305.985737      16.933442     941.416675      70.048277     288.000000     261.567808
   18000.000000     328.132510     305.998972      16.961569     943.898267      70.155157     288.000000     262.241115
   18100.000000     328.132510     306.011815      16.988979     946.313799      70.259315     288.000000     262.896465
   18200.000000     328.132510     306.024267      17.015675     948.663107      70.360758     288.000000     263.533820
   18300.000000     328.132510     306.036328      17.041658     950.946036      70.459491     288.000000     264.153142
   18400.000000     328.132510     306.047999      17.066929     953.162433      70.555521     288.000000     264.754395
   18500.000000     328.132510     306.059280      17.091491     955.312152      70.648854     288.000000     265.337542
   18600.000000     328.132510     306.070174      17.115344     957.395049      70.739494     288.000000     265.902550
   18700.000000     328.132510     306.080679      17.138491     959.410986      70.827449     288.000000     266.449385
   18800.000000     328.132510     306.090796      17.160931     961.359831      70.912723     288.000000     266.978016
   18900.000000     328.132510     306.100527      17.182668     963.241453      70.995321     288.000000     267.488411
   19000.000000     328.132510     306.109872      17.203702     965.055729      71.075248     288.000000     267.980541
   19100.000000     328.132510     306.118831      17.224034     966.802538      71.152509     288.000000     268.454376
   19200.000000     328.132510     306.127405      17.243666     968.481766      71.227109     288.000000     268.909890
   19300.000000     328.132510     306.135594      17.262599     970.093301      71.299052     288.000000     269.347055
   19400.000000     328.132510     306.143399      17.280833     971.637038      71.368342     288.000000     269.765846
   19500.000000     328.132510     306.150821      17.298371     973.112876      71.434983     288.000000     270.166239
   19600.000000     328.132510     306.157859      17.315212     974.520716      71.498980     288.000000     270.548210
   19700.000000     328.132510     306.164514      17.331359     975.860467      71.560336     288.000000     270.911737
   19800.000000     328.132510     306.170787      17.346811     977.132040      71.619054     288.000000     271.256799
   19900.000000     328.132510     306.176677      17.361570     978.335353      71.675139     288.000000     271.583376
   20000.000000     328.132510     306.182186      17.375638     979.470326      71.728593     288.000000     271.891448
   20100.000000     328.132510     306.187314      17.389013     980.536884      71.779419     288.000000     272.180999
   20200.000000     328.132510     306.192060      17.401698     981.534960      71.827621     288.000000     272.452011
   20300.000000     328.132510     306.196426      17.413693     982.464485      71.873202     288.000000     272.704468
   20400.000000     328.132510     306.200410      17.424999     983.325401      71.916163     288.000000     272.938355
   20500.000000     328.132510     306.204015      17.435617     984.117651      71.956509     288.000000     273.153660
   20600.000000     328.132510     306.207240      17.445546     984.841183      71.994240     288.000000     273.350369
   20700.000000     328.132510     306.210084      17.454788     985.495949      72.029360     288.000000     273.528472
   20800.000000     328.132510     306.212549      17.463344     986.081907      72.061870     288.000000     273.687957
   20900.000000     328.132510     306.214634      17.471213     986.599019      72.091773     288.000000     273.828815
   21000.000000     328.132510     306.216340      17.478397     987.047251      72.119070     288.000000     273.951039
   21100.000000     328.132510     306.217667      17.484895     987.426574      72.143764     288.000000     274.054620
   21200.000000     328.132510     306.218615      17.490709     987.736962      72.165855     288.000000     274.139554
   21300.000000     328.132510     306.219183      17.495838     987.978397      72.185345     288.000000     274.205834
   21400.000000     328.132510     306.219373      17.500283     988.150861      72.202235     288.000000     274.253458
   21500.000000     328.132510     306.219184      17.504044     988.254344      72.216527     288.000000     274.282421
   21600.000000     328.132510     306.218616      17.507122     988.288839      72.228222     288.000000     274.292723
   21700.000000     328.132510     306.217668      17.509516     988.254344      72.237320     288.000000     274.284362
   21800.000000     328.132510     306.216343      17.511227     988.150861      72.243822     288.000000     274.257339
   21900.000000     328.132510     306.214638      17.512256     987.978397      72.247730     288.000000     274.211655
   22000.000000     328.132510     306.212554      17.512601     987.736962      72.249043     288.000000     274.147313
   22100.000000     328.132510     306.210091      17.512264     987.426574      72.247761     288.000000     274.064316
   22200.000000     328.132510     306.207249      17.511245     987.047251      72.243886     288.000000     273.962668
   22300.000000     328.132510     306.204028      17.509542     986.599019      72.237417     288.000000     273.842377
   22400.000000     328.132510     306.200428      17.507157     986.081907      72.228354     288.000000     273.703447
   22500.000000     328.132510     306.196448      17.504090     985.495949      72.216698     288.000000     273.545887
   22600.000000     328.132510     306.192089      17.500340     984.841183      72.202446     288.000000     273.369707
   22700.000000     328.132510     306.187350      17.495907     984.117651      72.185601     288.000000     273.174915
   22800.000000     328.132510     306.182231      17.490791     983.325401      72.166160     288.000000     272.961523
   22900.000000     328.132510     306.176732      17.484991     982.464485      72.144123     288.000000     272.729543
   23000.000000     328.132510     306.170852      17.478509     981.534960      72.119490     288.000000     272.478988
   23100.000000     328.132510     306.164592      17.471343     980.536884      72.092259     288.000000     272.209873
   23200.000000     328.132510     306.157951      17.463493     979.470326      72.062429     288.000000     271.922213
   23300.000000     328.132510     306.150929      17.454959     978.335353      72.029999     288.000000     271.616023
   23400.000000     328.132510     306.143525      17.445740     977.132040      71.994969     288.000000     271.291323
   23500.000000     328.132510     306.135739      17.435837     975.860467      71.957335     288.000000     270.948129
   23600.000000     328.132510     306.127571      17.425248     974.520716      71.917097     288.000000     270.586463
   23700.000000     328.132510     306.119020      17.413973     973.112876      71.874254     288.000000     270.206344
   23800.000000     328.132510     306.110087      17.402012     971.637038      71.828802     288.000000     269.807794
   23900.000000     328.132510     306.100770      17.389364     970.093301      71.780740     288.000000     269.390837
   24000.000000     328.132510     306.091069      17.376029     968.481766      71.730067     288.000000     268.955497
   24100.000000     328.132510     306.080984      17.362006     966.802538      71.676779     288.000000     268.501797
   24200.000000     328.132510     306.070514      17.347294     965.055729      71.620874     288.000000     268.029766
   24300.000000     328.132510     306.059659      17.331893     963.241453      71.562350     288.000000     267.539429
   24400.000000     328.132510     306.048418      17.315801     961.359831      71.501203     288.000000     267.030815
   24500.000000     328.132510     306.036791      17.299019     959.410986      71.437432     288.000000     266.503955
   24600.000000     328.132510     306.024777      17.281546     957.395049      71.371032     288.000000     265.958877
   24700.000000     328.132510     306.012375      17.263380     955.312152      71.302002     288.000000     265.395615
   24800.000000     328.132510     305.999585      17.244520     953.162433      71.230337     288.000000     264.814200
   24900.000000     328.132510     305.986407      17.224967     950.946036      71.156034     288.000000     264.214667
   25000.000000     328.132510     305.972839      17.204718     948.663107      71.079089     288.000000     263.597050
   25100.000000     328.132510     305.958880      17.183773     946.313799      70.999499     288.000000     262.961386
   25200.000000     328.132510     305.944531      17.162131     943.898267      70.917260     288.000000     262.307712
   25300.000000     328.132510     305.929790      17.139791     941.416675      70.832368     288.000000     261.636067
   25400.000000     328.132510     305.914657      17.116751     938.869187      70.744817     288.000000     260.946489
   25500.000000     328.132510     305.899131      17.093011     936.255973      70.654605     288.000000     260.239019
   25600.000000     328.132510     305.883211      17.068569     933.577210      70.561726     288.000000     259.513700
   25700.000000     328.132510     305.866896      17.043424     930.833077      70.466175     288.000000     258.770574
   25800.000000     328.132510     305.850185      17.017574     928.023758      70.367948     288.000000     258.009685
   25900.000000     328.132510     305.833078      16.991019     925.149443      70.267040     288.000000     257.231078
   26000.000000     328.132510     305.815573      16.963757     922.210326      70.163444     288.000000     256.434799
   26100.000000     328.132510     305.797670      16.935787     919.206606      70.057157     288.000000     255.620897
