# simv0 diagnostic: method selection + RK45 step-size log
# DECOUPLED method: Classical RK4
#   reason: Stiffness: tau/h=   3.9 < 5, tol=  0.100 K: O(h^4) accuracy
# COUPLED   method: Classical RK4
#   reason: BTE-NS coupling, tau/h=   3.9, tol=  0.100 K: O(h^4) accuracy
# SPATIAL   method: RK45 Dormand-Prince (adaptive)
#   reason: Spatial 1D PDE, tau/h=   3.9: adaptive error control essential
#
# RK45 adaptive log (spatial mode only):
# t(s)          h_used(s)      err_norm       accept
          0.000     100.000000***************  REJECT
        869.788       2.291498       0.513392  ACCEPT
        872.079       2.356526       0.390088  ACCEPT
        874.436       2.560250       0.481409  ACCEPT
        876.996       2.666994       0.768330  ACCEPT
        879.663       2.530201       0.912488  ACCEPT
        882.193       2.319274       0.640641  ACCEPT
        884.512       2.281769       0.403390  ACCEPT
        886.794       2.462459       0.396312  ACCEPT
        889.257       2.666883       0.625823  ACCEPT
        891.924       2.636066       0.945518  ACCEPT
        894.560       2.399191       0.819387  ACCEPT
        896.959       2.247034       0.473149  ACCEPT
        899.206       2.348835       0.353528  ACCEPT
        901.555       2.602616       0.480336  ACCEPT
        904.157       2.712337       0.851185  ACCEPT
        906.870       2.521049       0.995900  ACCEPT
        909.391       2.270809       0.617813  ACCEPT
        911.661       2.250359       0.359346  ACCEPT
        913.912       2.485373       0.373336  ACCEPT
        916.397       2.724043       0.669491  ACCEPT
        919.121       2.656487       1.066959  REJECT
        919.121       2.360047       0.533556  ACCEPT
        921.481       2.408392       0.460431  ACCEPT
        923.890       2.531260       0.532814  ACCEPT
        926.421       2.583832       0.703437  ACCEPT
        929.005       2.494949       0.761115  ACCEPT
        931.500       2.371451       0.605979  ACCEPT
        933.871       2.359202       0.463833  ACCEPT
        936.230       2.475913       0.470444  ACCEPT
        938.706       2.591052       0.627724  ACCEPT
        941.297       2.559558       0.789716  ACCEPT
        943.857       2.414978       0.704180  ACCEPT
        946.272       2.331412       0.504249  ACCEPT
        948.603       2.406204       0.432570  ACCEPT
        951.009       2.560729       0.535664  ACCEPT
        953.570       2.611125       0.754830  ACCEPT
        956.181       2.485995       0.802501  ACCEPT
        958.667       2.338050       0.587730  ACCEPT
        961.005       2.340241       0.428804  ACCEPT
